JSON Filename,Total Records,Committee Matches,Accuracy,Precision,Recall,F1 Score
claude35_haiku_november_2024.json,880,840,0.9545454545454546,0.8830566801619434,0.8844526254046378,0.8810095951576817
llama33_november_2024.json,1000,941,0.941,0.8705501046572475,0.8549330357142858,0.8590874696769744
deepseek_r1_32b_november_2024_prompt2.json,1000,727,0.727,0.6871828209712169,0.5970069976864877,0.6246759547630379
gemini_25_november_2024_prompt2.json,1000,960,0.96,0.889398120871965,0.8903367158671587,0.8881188824878355
mistral_small24b_november_2024.json,995,808,0.8120603015075377,0.7111615735429367,0.6587685150556921,0.6728449058133449
phi4_november_2024.json,1000,847,0.847,0.7302935989210498,0.6833917955691085,0.6981172771022678
command_a_november_2024_prompt2.json,1000,816,0.816,0.7633230187381812,0.7170580970509858,0.7292860468591225
gemini20_flash_november_2024_prompt2.json,1000,930,0.93,0.8217897497982244,0.8031267643299312,0.8086798569488763
claude35_haiku_november_2024_prompt2.json,1000,954,0.954,0.8805188923395445,0.877007541070041,0.8760307233108088
mixtral_november_2024_prompt2.json,1000,832,0.832,0.750091256014601,0.7110121047575201,0.7218114072735939
mistral_small_24b_november_2024_prompt2.json,1000,833,0.833,0.753684422921711,0.7123724792156995,0.7228010339860615
internlm2_november_2024.json,992,710,0.7157258064516129,0.5318468545914447,0.4721238818805764,0.4904713888677481
command_r7b_november_2024_prompt2.json,1000,768,0.768,0.6720355211397185,0.615241276132384,0.6286327282196693
gpt_41_nano_november_2024_prompt2.json,1000,884,0.884,0.7642455690671699,0.7426100907458442,0.7456113421289547
gemma2_november_2024.json,495,428,0.8646464646464647,0.7508644536652834,0.718172608556877,0.7250955700931293
mistral_nemo_november_2024_prompt2.json,1000,867,0.867,0.7918657854600915,0.7636010353665813,0.7707330453231549
exaone35_32b_november_2024_prompt2.json,1000,803,0.803,0.6971559860904123,0.6472164429616974,0.6586774169901919
hermes3_70b_november_2024_prompt2.json,1000,636,0.636,0.7024954365487455,0.5608291159046087,0.6053930903034567
llama318b_november_2024.json,507,441,0.8698224852071006,0.7280529953917052,0.7057659690220175,0.7123742567520075
openai4o_november_2024.json,1000,940,0.94,0.8854166666666666,0.8599977789328119,0.8678353829566728
gemma3_12b_november_2024_prompt2.json,1000,738,0.738,0.6051023424222272,0.5451101523363994,0.5595592708444408
exaone35_november_2024.json,960,671,0.6989583333333333,0.5139758587968041,0.44615051402184824,0.4668769206998175
gpt_41_mini_november_2024_prompt2.json,1000,930,0.93,0.8303647943073955,0.8149042638445751,0.8187310996465014
claude3_sonnet_november_2024.json,985,925,0.9390862944162437,0.8765147636115378,0.8661669102052854,0.8678573027394778
tulu3_8b_november_2024_prompt2.json,1000,848,0.848,0.7737821565407773,0.7400138523579193,0.7488996347824163
mistral_small_31_november_2024_prompt2.json,1000,940,0.94,0.8722811150372988,0.8554371644256803,0.8591141912576346
gemma3_27b_november_2024_prompt2.json,1000,817,0.817,0.7060248778998779,0.661369445121343,0.673520145077207
gemma2_november_2024_prompt2.json,1000,857,0.857,0.7461745342144014,0.7026099050305642,0.7168986880372644
phi3_november_2024.json,521,191,0.3666026871401152,0.3401360544217687,0.23491435115215062,0.26420915962084157
claude35_sonnet_november_2024_prompt2.json,1000,936,0.936,0.8764126121463078,0.8687363968973624,0.8683373187878917
deepseek_r1_32b_november_2024.json,1000,740,0.74,0.6971169420149013,0.6146874591085828,0.6414770103560762
qwen25_72b_november_2024_prompt2.json,1000,855,0.855,0.7894683892830668,0.7518323315235107,0.7629980525940725
deepseek_r1_8b_november_2024.json,781,371,0.47503201024327785,0.5215405681954978,0.3737676647920347,0.41981176853929236
phi4_mini_november_2024_prompt2.json,1000,751,0.751,0.5530184400804347,0.48340017419481135,0.5033102841856907
claude37_sonnet_november_2024_prompt2.json,1000,962,0.962,0.9029363604177731,0.903105638166047,0.9007519276970986
o3-mini_november_2024_prompt2.json,1000,838,0.838,0.6843283582089552,0.6425918470651847,0.650179559106435
starling-lm_november_2024.json,270,202,0.7481481481481481,0.6555232558139535,0.600453146374829,0.6177528207103535
gemma2_27b_november_2024_prompt2.json,1000,858,0.858,0.7582885632885633,0.7114394921598869,0.7272638466449697
